Reynolds Number:,Viscous Drag Coeff
487716.73089926946,0.0019345539117132174
216974.5708598499,0.002850273267366311
318730.7509475717,0.006595398456680229
111305.60632758614,0.004359060455740291
461616.4355817146,0.0022806686855800376
549809.1370637802,0.005673297802627281
477447.86018905684,0.003423233052631287
233476.60953463192,0.0037505967649017367
211187.53940473316,0.005568547129514581
507631.66804189136,0.004800182929907426
322594.2950512195,0.002587715790247346
416467.4441049651,0.004212576669333243
